Disaster_ID,Disaster_Type,Country,Region,Disaster_Date,Year,Quarter,Month,Month_Num,Severity_Level,Casualties,Economic_Loss_Million_USD,Response_Time_Hours,Aid_Amount_Million_USD,Recovery_Duration_Days,Efficiency_Score,Area_Affected_SqKm,People_Displaced,Response_Agency
DIS0376,Landslide,Portugal,Europe,2018-05-04,2018,Q2,May,5,3.3,661,81.83,45,69.38,57,100.0,919,7327,UN OCHA
DIS0039,Earthquake,Mexico,Americas,2018-05-08,2018,Q2,May,5,8.8,6419,903.47,63,405.59,179,93.0,1303,99442,FEMA
DIS0414,Hurricane,Canada,Americas,2018-05-12,2018,Q2,May,5,3.8,1349,295.55,121,213.7,68,78.9,1705,18959,WHO
DIS0262,Industrial Accident,France,Europe,2018-05-13,2018,Q2,May,5,3.8,967,252.9,167,209.43,81,78.3,1555,9007,Red Cross
DIS0419,Industrial Accident,Somalia,Africa,2018-05-14,2018,Q2,May,5,3.5,1139,169.58,55,185.1,48,100.0,1333,6631,FEMA
DIS0157,Cyclone,Norway,Europe,2018-05-15,2018,Q2,May,5,2.5,3715,435.55,152,187.67,93,76.7,1169,35252,UNICEF
DIS0073,Drought,Israel,Middle East,2018-05-15,2018,Q2,May,5,7.5,2105,431.46,94,209.1,164,85.8,3675,21850,Local Emergency Services
DIS0390,Industrial Accident,South Africa,Africa,2018-05-16,2018,Q2,May,5,3.7,227,183.97,41,207.04,83,100.0,822,3384,WHO
DIS0109,Landslide,Argentina,Americas,2018-05-23,2018,Q2,May,5,3.5,705,73.78,147,45.93,68,73.3,759,8219,UN OCHA
DIS0023,Industrial Accident,Indonesia,Asia-Pacific,2018-05-28,2018,Q2,May,5,6.2,1031,244.04,12,178.48,135,100.0,2711,19056,UNICEF
DIS0027,Drought,Argentina,Americas,2018-06-06,2018,Q2,June,6,4.5,1916,143.19,132,86.14,134,71.4,314,22112,NGO Coalition
DIS0478,Industrial Accident,Spain,Europe,2018-06-18,2018,Q2,June,6,4.9,842,212.18,88,256.44,73,93.5,1414,6000,UN OCHA
DIS0108,Landslide,Somalia,Africa,2018-06-23,2018,Q2,June,6,5.9,2385,105.0,16,76.94,111,100.0,2421,36230,Red Cross
DIS0302,Industrial Accident,Iran,Middle East,2018-06-23,2018,Q2,June,6,6.2,914,268.28,149,322.16,135,92.2,2865,8412,UNICEF
DIS0285,Wildfire,Nigeria,Africa,2018-06-26,2018,Q2,June,6,3.6,1191,298.63,12,309.28,46,100.0,1674,15184,Local Emergency Services
DIS0289,Tsunami,Israel,Middle East,2018-06-27,2018,Q2,June,6,8.1,20541,1603.08,99,900.74,190,93.0,3456,280216,Local Emergency Services
DIS0003,Drought,Poland,Europe,2018-06-27,2018,Q2,June,6,7.6,3660,105.94,77,205.74,155,100.0,2354,56980,Red Cross
DIS0343,Industrial Accident,Egypt,Africa,2018-06-28,2018,Q2,June,6,3.3,247,204.02,160,124.96,88,80.0,263,3681,FEMA
DIS0357,Volcano,Zimbabwe,Africa,2018-06-29,2018,Q2,June,6,7.1,10306,665.55,40,320.82,93,100.0,518,99153,Military Forces
DIS0455,Cyclone,Japan,Asia-Pacific,2018-07-04,2018,Q3,July,7,2.4,2355,81.68,162,65.46,54,70.4,505,24183,UNICEF
DIS0490,Volcano,Brazil,Americas,2018-07-05,2018,Q3,July,7,4.3,5954,193.37,118,210.76,94,94.4,875,111766,WHO
DIS0067,Cyclone,Italy,Europe,2018-07-20,2018,Q3,July,7,4.7,6573,687.9,60,519.37,81,99.8,1548,99689,WHO
DIS0084,Cyclone,Brazil,Americas,2018-07-23,2018,Q3,July,7,4.0,2850,411.4,115,269.54,73,82.7,821,18990,Military Forces
DIS0247,Landslide,Germany,Europe,2018-07-25,2018,Q3,July,7,3.4,289,134.16,94,157.88,67,100.0,315,4731,Red Cross
DIS0391,Tsunami,Argentina,Americas,2018-08-11,2018,Q3,August,8,7.9,31018,398.99,120,300.36,135,87.6,3069,402855,Local Emergency Services
DIS0395,Flood,Thailand,Asia-Pacific,2018-08-21,2018,Q3,August,8,7.7,6838,664.41,165,305.33,219,59.3,2480,72752,WHO
DIS0229,Wildfire,Chile,Americas,2018-08-25,2018,Q3,August,8,4.2,1364,379.95,72,241.72,83,90.3,1954,20756,UNICEF
DIS0192,Wildfire,United Kingdom,Europe,2018-08-26,2018,Q3,August,8,4.2,1978,274.42,157,119.36,117,72.3,541,10265,WHO
DIS0180,Volcano,Indonesia,Asia-Pacific,2018-08-31,2018,Q3,August,8,8.0,10625,631.0,35,355.8,161,100.0,3141,160899,Military Forces
DIS0118,Flood,Portugal,Europe,2018-09-03,2018,Q3,September,9,3.8,2682,115.15,157,73.82,124,68.6,1879,27304,Local Emergency Services
DIS0327,Tsunami,Yemen,Middle East,2018-09-17,2018,Q3,September,9,8.0,24067,623.79,129,595.24,120,79.3,1875,236587,UN OCHA
DIS0405,Cyclone,Syria,Middle East,2018-09-19,2018,Q3,September,9,4.5,2090,536.61,159,270.91,135,68.2,1868,41241,Local Emergency Services
DIS0194,Industrial Accident,Mozambique,Africa,2018-09-19,2018,Q3,September,9,3.3,784,143.58,132,108.16,84,81.2,711,6920,UN OCHA
DIS0170,Tsunami,Madagascar,Africa,2018-10-03,2018,Q4,October,10,6.4,26671,284.91,89,284.4,142,87.1,3153,230936,WHO
DIS0090,Landslide,Spain,Europe,2018-10-07,2018,Q4,October,10,4.9,1422,145.42,92,147.12,87,92.3,370,24850,UN OCHA
DIS0020,Tsunami,Spain,Europe,2018-10-09,2018,Q4,October,10,9.0,20094,1148.73,141,959.51,195,88.7,3098,102827,NGO Coalition
DIS0379,Volcano,Haiti,Americas,2018-10-13,2018,Q4,October,10,6.4,7231,295.35,167,294.69,101,81.5,2875,134126,Red Cross
DIS0276,Cyclone,Bangladesh,Asia-Pacific,2018-10-13,2018,Q4,October,10,4.7,3648,372.48,80,334.03,71,95.7,1943,70697,WHO
DIS0310,Volcano,UAE,Middle East,2018-10-20,2018,Q4,October,10,4.3,2945,194.48,76,203.7,95,95.5,1932,49224,FEMA
DIS0320,Volcano,Bangladesh,Asia-Pacific,2018-10-20,2018,Q4,October,10,6.2,2758,551.86,5,252.22,123,100.0,2461,32115,Red Cross
DIS0270,Volcano,Ecuador,Americas,2018-10-23,2018,Q4,October,10,7.0,3050,561.58,11,247.32,79,100.0,2107,41554,UNICEF
DIS0190,Landslide,Syria,Middle East,2018-10-26,2018,Q4,October,10,3.1,376,48.33,17,95.9,50,100.0,1149,6206,Local Emergency Services
DIS0015,Wildfire,Portugal,Europe,2018-11-05,2018,Q4,November,11,5.2,2745,154.91,168,232.91,154,89.4,2427,48670,WHO
DIS0438,Industrial Accident,Germany,Europe,2018-11-11,2018,Q4,November,11,4.6,1000,277.35,155,277.6,114,85.6,1941,15274,National Disaster Agency
DIS0214,Tsunami,South Africa,Africa,2018-11-15,2018,Q4,November,11,6.1,30098,1020.15,24,905.72,119,100.0,1226,155634,UNICEF
DIS0386,Industrial Accident,Portugal,Europe,2018-11-17,2018,Q4,November,11,4.6,906,193.33,21,202.71,83,100.0,1498,16809,NGO Coalition
DIS0107,Volcano,Greece,Europe,2018-11-20,2018,Q4,November,11,5.7,8597,371.81,84,175.65,99,83.0,1428,135531,WHO
DIS0130,Drought,Italy,Europe,2018-11-20,2018,Q4,November,11,5.7,2339,269.99,56,161.75,109,100.0,2070,16511,UNICEF
DIS0359,Landslide,Sudan,Africa,2018-11-22,2018,Q4,November,11,5.4,714,96.82,162,129.96,156,72.4,630,10566,Red Cross
DIS0464,Earthquake,Nigeria,Africa,2018-12-10,2018,Q4,December,12,6.3,5984,866.7,106,831.95,144,96.9,1440,105301,WHO
DIS0080,Flood,Kenya,Africa,2018-12-16,2018,Q4,December,12,3.5,1177,265.59,144,112.75,120,73.3,1230,13137,Local Emergency Services
DIS0433,Cyclone,Argentina,Americas,2018-12-19,2018,Q4,December,12,2.4,2061,427.19,18,408.61,46,100.0,127,30053,National Disaster Agency
DIS0415,Wildfire,Jordan,Middle East,2018-12-21,2018,Q4,December,12,5.1,1597,403.71,120,236.42,130,84.9,821,15825,UNICEF
DIS0296,Hurricane,United States,Americas,2018-12-22,2018,Q4,December,12,5.0,8322,1087.08,105,773.56,107,90.4,404,52865,National Disaster Agency
DIS0253,Landslide,Egypt,Africa,2018-12-27,2018,Q4,December,12,6.4,1253,283.36,6,148.74,100,100.0,320,7973,National Disaster Agency
DIS0246,Earthquake,United States,Americas,2018-12-31,2018,Q4,December,12,8.6,18787,375.33,25,420.19,102,100.0,3931,275512,Military Forces
DIS0338,Industrial Accident,UAE,Middle East,2019-01-04,2019,Q1,January,1,3.1,593,67.43,88,45.24,75,80.1,711,3721,NGO Coalition
DIS0070,Tsunami,Zimbabwe,Africa,2019-01-05,2019,Q1,January,1,8.6,6135,556.57,96,512.69,184,92.7,3612,117205,UN OCHA
DIS0099,Volcano,Syria,Middle East,2019-01-11,2019,Q1,January,1,7.8,4051,740.26,8,491.99,120,100.0,1745,25213,UNICEF
DIS0083,Earthquake,Indonesia,Asia-Pacific,2019-01-11,2019,Q1,January,1,8.0,6515,653.65,42,424.75,164,100.0,2443,40877,Red Cross
DIS0045,Earthquake,Madagascar,Africa,2019-01-17,2019,Q1,January,1,6.2,7525,392.31,150,269.21,141,71.5,3090,99750,FEMA
DIS0116,Industrial Accident,Poland,Europe,2019-01-18,2019,Q1,January,1,4.5,795,99.62,161,138.87,119,88.5,1366,13815,Red Cross
DIS0093,Tsunami,Greece,Europe,2019-01-23,2019,Q1,January,1,7.5,17414,1385.6,156,1265.28,140,78.2,852,178446,Local Emergency Services
DIS0336,Cyclone,Peru,Americas,2019-01-26,2019,Q1,January,1,3.8,3045,331.48,16,347.63,58,100.0,932,57713,UN OCHA
DIS0269,Flood,Norway,Europe,2019-01-29,2019,Q1,January,1,3.8,5017,208.96,162,96.68,112,73.8,1669,57008,UN OCHA
DIS0072,Flood,Portugal,Europe,2019-02-03,2019,Q1,February,2,4.2,3410,205.9,140,159.87,119,71.4,994,22114,Military Forces
DIS0168,Earthquake,Kenya,Africa,2019-02-08,2019,Q1,February,2,6.0,8971,568.5,149,297.86,120,71.6,2134,137763,WHO
DIS0225,Cyclone,UAE,Middle East,2019-02-15,2019,Q1,February,2,4.8,5170,709.74,139,667.22,141,76.3,1654,70210,Military Forces
DIS0470,Volcano,Somalia,Africa,2019-02-16,2019,Q1,February,2,7.3,8462,170.14,109,209.05,178,97.2,1853,45781,Red Cross
DIS0041,Wildfire,Thailand,Asia-Pacific,2019-02-22,2019,Q1,February,2,6.5,1275,647.55,146,598.39,125,77.7,1408,16051,FEMA
DIS0161,Volcano,Jordan,Middle East,2019-02-28,2019,Q1,February,2,4.1,2648,285.9,85,301.03,56,93.8,1642,42030,NGO Coalition
DIS0258,Hurricane,Syria,Middle East,2019-03-01,2019,Q1,March,3,2.5,3471,440.07,100,270.13,69,89.2,404,38070,FEMA
DIS0104,Wildfire,China,Asia-Pacific,2019-03-01,2019,Q1,March,3,6.9,2886,230.05,92,230.99,165,86.7,2764,34543,Military Forces
DIS0169,Landslide,Italy,Europe,2019-03-05,2019,Q1,March,3,4.2,1451,49.78,38,68.09,69,100.0,1194,14835,UN OCHA
DIS0042,Landslide,Australia,Asia-Pacific,2019-03-09,2019,Q1,March,3,4.7,1143,159.91,113,103.01,105,85.8,1537,21481,Military Forces
DIS0009,Industrial Accident,Syria,Middle East,2019-03-12,2019,Q1,March,3,6.4,1031,323.59,41,236.79,86,100.0,2976,19359,FEMA
DIS0324,Industrial Accident,Spain,Europe,2019-03-16,2019,Q1,March,3,2.6,682,160.64,90,166.56,60,88.0,936,7074,WHO
DIS0489,Industrial Accident,Japan,Asia-Pacific,2019-03-17,2019,Q1,March,3,4.6,930,247.5,147,267.42,98,82.9,1821,4876,Military Forces
DIS0250,Landslide,Peru,Americas,2019-04-08,2019,Q2,April,4,6.6,1220,114.25,82,75.7,161,90.9,2538,19345,UNICEF
DIS0249,Hurricane,Sudan,Africa,2019-04-09,2019,Q2,April,4,1.5,2340,113.89,153,84.84,62,73.5,487,39048,Red Cross
DIS0268,Volcano,China,Asia-Pacific,2019-04-10,2019,Q2,April,4,5.5,5101,108.14,134,173.04,110,94.2,1377,28860,UNICEF
DIS0008,Earthquake,Norway,Europe,2019-04-15,2019,Q2,April,4,7.7,11579,932.28,89,398.59,140,84.3,3689,210017,National Disaster Agency
DIS0040,Cyclone,Argentina,Americas,2019-04-15,2019,Q2,April,4,4.3,2205,198.72,8,244.1,76,100.0,941,42164,UNICEF
DIS0364,Earthquake,France,Europe,2019-04-30,2019,Q2,April,4,5.1,8567,597.64,55,545.54,131,98.9,1021,114851,UNICEF
DIS0443,Landslide,Iran,Middle East,2019-05-03,2019,Q2,May,5,6.6,599,214.73,26,266.78,149,100.0,3006,4655,FEMA
DIS0012,Landslide,Zimbabwe,Africa,2019-05-11,2019,Q2,May,5,4.0,185,118.25,60,129.47,51,100.0,305,1112,Red Cross
DIS0400,Landslide,Australia,Asia-Pacific,2019-05-12,2019,Q2,May,5,5.3,2140,106.02,79,114.57,115,100.0,481,27861,FEMA
DIS0213,Drought,Mozambique,Africa,2019-06-06,2019,Q2,June,6,4.9,932,144.94,147,77.6,123,81.5,2378,7748,UN OCHA
DIS0241,Drought,Canada,Americas,2019-06-13,2019,Q2,June,6,4.5,2112,82.58,13,82.65,65,100.0,1432,21262,WHO
DIS0328,Earthquake,Iraq,Middle East,2019-06-16,2019,Q2,June,6,5.7,2111,488.33,27,192.2,110,97.2,1541,30313,National Disaster Agency
DIS0358,Flood,Spain,Europe,2019-06-23,2019,Q2,June,6,7.8,1359,124.14,129,227.82,163,79.4,3488,11644,Military Forces
DIS0185,Flood,Peru,Americas,2019-06-28,2019,Q2,June,6,6.0,4683,94.18,89,169.26,161,97.3,656,28390,Local Emergency Services
DIS0472,Landslide,Portugal,Europe,2019-07-01,2019,Q3,July,7,4.0,1322,149.93,52,80.62,70,93.6,879,23161,UNICEF
DIS0259,Hurricane,Portugal,Europe,2019-07-20,2019,Q3,July,7,2.7,4398,336.77,142,319.03,88,89.1,903,35242,National Disaster Agency
DIS0370,Tsunami,Afghanistan,Middle East,2019-08-10,2019,Q3,August,8,8.5,9202,1490.42,35,702.54,98,96.5,3732,61998,National Disaster Agency
DIS0392,Drought,Madagascar,Africa,2019-08-18,2019,Q3,August,8,6.7,2720,377.62,116,270.75,118,83.7,3216,17572,NGO Coalition
DIS0348,Volcano,Syria,Middle East,2019-08-18,2019,Q3,August,8,6.6,6169,298.85,144,267.03,164,72.8,2823,44310,Red Cross
DIS0429,Cyclone,Mozambique,Africa,2019-08-26,2019,Q3,August,8,4.4,6212,355.53,30,327.76,102,99.5,1310,59767,Local Emergency Services
DIS0101,Wildfire,Bangladesh,Asia-Pacific,2019-09-05,2019,Q3,September,9,5.7,2605,355.26,75,207.69,80,85.7,1923,37361,UN OCHA
DIS0198,Wildfire,Ecuador,Americas,2019-09-09,2019,Q3,September,9,3.0,859,222.46,164,227.03,110,85.3,151,12764,National Disaster Agency
DIS0480,Landslide,Canada,Americas,2019-09-12,2019,Q3,September,9,5.2,2167,49.38,40,51.04,73,100.0,642,26019,UN OCHA
DIS0187,Wildfire,Somalia,Africa,2019-09-13,2019,Q3,September,9,7.6,2869,805.57,24,802.4,96,100.0,2876,29473,Local Emergency Services
DIS0399,Drought,Australia,Asia-Pacific,2019-09-13,2019,Q3,September,9,7.5,5640,76.39,127,132.86,142,94.3,3116,34130,UNICEF
DIS0347,Cyclone,Ethiopia,Africa,2019-09-18,2019,Q3,September,9,3.3,2517,321.34,35,164.25,46,100.0,1353,45151,National Disaster Agency
DIS0160,Volcano,Spain,Europe,2019-09-24,2019,Q3,September,9,7.0,4195,178.56,80,180.57,159,88.2,624,48094,NGO Coalition
DIS0326,Industrial Accident,Mexico,Americas,2019-09-27,2019,Q3,September,9,4.2,1337,148.87,2,178.27,70,100.0,1878,19113,FEMA
DIS0143,Tsunami,Peru,Americas,2019-09-28,2019,Q3,September,9,6.2,29307,287.95,109,275.58,167,96.2,981,176116,Red Cross
DIS0341,Tsunami,Chile,Americas,2019-10-01,2019,Q4,October,10,8.4,36573,1578.5,64,1518.35,200,100.0,3520,190399,UN OCHA
DIS0057,Wildfire,Thailand,Asia-Pacific,2019-10-11,2019,Q4,October,10,4.6,620,134.88,31,130.88,59,100.0,1261,9764,NGO Coalition
DIS0025,Drought,Ethiopia,Africa,2019-10-15,2019,Q4,October,10,7.9,1213,418.14,58,241.83,187,91.9,3312,21918,UNICEF
DIS0096,Hurricane,Israel,Middle East,2019-10-27,2019,Q4,October,10,1.7,2549,391.5,13,232.54,35,100.0,424,23639,Military Forces
DIS0216,Wildfire,Egypt,Africa,2019-10-29,2019,Q4,October,10,5.3,2115,262.3,83,168.19,75,86.7,2382,15679,UN OCHA
DIS0356,Tsunami,Bangladesh,Asia-Pacific,2019-11-03,2019,Q4,November,11,8.2,9393,1486.21,164,854.42,175,67.3,3329,119056,WHO
DIS0069,Drought,Jordan,Middle East,2019-11-05,2019,Q4,November,11,5.3,3754,309.36,77,310.66,92,89.0,2561,26696,UNICEF
DIS0252,Landslide,Lebanon,Middle East,2019-11-09,2019,Q4,November,11,3.3,829,65.7,73,43.49,56,95.4,763,7067,Military Forces
DIS0388,Cyclone,Nepal,Asia-Pacific,2019-11-24,2019,Q4,November,11,3.7,4714,559.94,161,200.57,96,59.6,312,78989,National Disaster Agency
DIS0162,Industrial Accident,Argentina,Americas,2019-11-26,2019,Q4,November,11,5.4,538,169.13,128,107.4,89,74.6,998,9006,FEMA
DIS0126,Landslide,Thailand,Asia-Pacific,2019-11-30,2019,Q4,November,11,5.1,1732,66.51,64,53.74,131,89.1,298,16809,WHO
DIS0092,Industrial Accident,Greece,Europe,2019-12-08,2019,Q4,December,12,2.2,757,99.56,158,56.74,65,66.6,514,7627,Red Cross
DIS0209,Tsunami,Israel,Middle East,2019-12-13,2019,Q4,December,12,5.8,18868,1292.22,9,1016.84,87,100.0,660,362747,Military Forces
DIS0369,Drought,Ecuador,Americas,2019-12-18,2019,Q4,December,12,4.6,2903,256.07,115,210.09,124,93.0,548,29325,Military Forces
DIS0054,Earthquake,Poland,Europe,2019-12-19,2019,Q4,December,12,6.9,12143,329.03,151,262.25,182,85.4,1804,135093,FEMA
DIS0032,Wildfire,Australia,Asia-Pacific,2019-12-22,2019,Q4,December,12,7.0,2938,175.15,65,268.03,94,97.2,1813,38096,NGO Coalition
DIS0239,Tsunami,Nepal,Asia-Pacific,2019-12-26,2019,Q4,December,12,6.4,5835,606.12,45,474.07,87,100.0,2565,40501,Local Emergency Services
DIS0453,Earthquake,Nigeria,Africa,2019-12-26,2019,Q4,December,12,7.2,15998,976.23,44,666.41,94,100.0,1939,106238,Military Forces
DIS0485,Drought,Australia,Asia-Pacific,2019-12-31,2019,Q4,December,12,5.2,3421,75.19,55,71.28,118,96.8,2020,50668,UN OCHA
DIS0423,Volcano,Philippines,Asia-Pacific,2020-01-03,2020,Q1,January,1,5.2,7513,165.97,30,193.91,92,100.0,1478,108255,National Disaster Agency
DIS0292,Landslide,Jordan,Middle East,2020-01-03,2020,Q1,January,1,4.5,1185,200.56,149,147.2,124,80.2,1956,17643,UNICEF
DIS0451,Earthquake,Nepal,Asia-Pacific,2020-01-04,2020,Q1,January,1,6.5,11718,408.49,161,192.67,99,73.8,2570,197928,UNICEF
DIS0154,Volcano,Pakistan,Asia-Pacific,2020-01-05,2020,Q1,January,1,4.4,1403,169.77,160,158.75,134,71.3,1005,14865,Local Emergency Services
DIS0152,Landslide,Ecuador,Americas,2020-01-24,2020,Q1,January,1,6.7,1460,181.89,21,273.91,129,100.0,1578,25751,UNICEF
DIS0133,Landslide,Australia,Asia-Pacific,2020-02-03,2020,Q1,February,2,6.7,2624,270.53,4,193.78,119,100.0,1345,31003,NGO Coalition
DIS0284,Hurricane,France,Europe,2020-02-05,2020,Q1,February,2,1.6,2100,344.44,108,296.15,59,86.8,424,17137,WHO
DIS0242,Tsunami,Portugal,Europe,2020-02-11,2020,Q1,February,2,5.7,26477,249.8,59,267.87,78,100.0,1797,199498,FEMA
DIS0234,Drought,Germany,Europe,2020-02-11,2020,Q1,February,2,4.7,2755,236.28,155,179.16,98,67.3,288,34328,National Disaster Agency
DIS0120,Tsunami,Poland,Europe,2020-02-17,2020,Q1,February,2,8.4,23882,1120.25,80,770.92,110,89.1,2148,205646,FEMA
DIS0402,Earthquake,Brazil,Americas,2020-03-01,2020,Q1,March,3,5.1,12853,439.39,18,419.93,97,100.0,2469,220771,Red Cross
DIS0047,Flood,Afghanistan,Middle East,2020-03-06,2020,Q1,March,3,4.5,2670,72.28,138,61.01,70,70.9,816,51160,Military Forces
DIS0256,Cyclone,Bangladesh,Asia-Pacific,2020-03-13,2020,Q1,March,3,2.6,4572,162.08,50,156.29,38,100.0,1214,80293,UN OCHA
DIS0306,Volcano,Israel,Middle East,2020-03-14,2020,Q1,March,3,4.6,6704,270.88,4,147.32,76,100.0,1988,85510,FEMA
DIS0089,Drought,Indonesia,Asia-Pacific,2020-03-19,2020,Q1,March,3,4.9,912,92.4,162,113.57,139,85.1,1234,17202,FEMA
DIS0322,Drought,Portugal,Europe,2020-03-24,2020,Q1,March,3,5.8,844,340.25,62,310.13,95,92.3,1010,5734,UNICEF
DIS0066,Drought,Portugal,Europe,2020-03-26,2020,Q1,March,3,9.0,5887,196.74,148,194.16,155,83.6,538,102731,Local Emergency Services
DIS0245,Cyclone,Ethiopia,Africa,2020-03-29,2020,Q1,March,3,4.3,6515,359.86,106,212.77,63,83.6,616,123764,FEMA
DIS0164,Cyclone,Turkey,Europe,2020-04-02,2020,Q2,April,4,3.4,1951,596.05,76,492.01,80,100.0,1366,19292,National Disaster Agency
DIS0295,Earthquake,Madagascar,Africa,2020-04-06,2020,Q2,April,4,8.4,20150,510.31,10,522.55,141,100.0,2745,304473,FEMA
DIS0401,Drought,Nepal,Asia-Pacific,2020-04-11,2020,Q2,April,4,4.9,861,210.88,78,221.63,127,99.8,1037,5400,Military Forces
DIS0150,Tsunami,Nepal,Asia-Pacific,2020-04-12,2020,Q2,April,4,6.7,16698,1425.87,39,483.14,124,97.5,2505,157426,UNICEF
DIS0149,Cyclone,Ethiopia,Africa,2020-04-17,2020,Q2,April,4,3.2,2080,468.25,99,308.57,83,82.5,677,37943,Military Forces
DIS0139,Flood,Lebanon,Middle East,2020-04-21,2020,Q2,April,4,6.6,4960,319.51,16,258.29,113,100.0,501,59200,National Disaster Agency
DIS0172,Wildfire,Nigeria,Africa,2020-04-22,2020,Q2,April,4,4.4,1590,342.03,139,177.25,91,73.8,739,28523,NGO Coalition
DIS0179,Hurricane,Argentina,Americas,2020-04-26,2020,Q2,April,4,4.3,7610,592.13,73,446.29,66,100.0,781,103427,NGO Coalition
DIS0219,Earthquake,Mexico,Americas,2020-04-27,2020,Q2,April,4,5.7,5352,479.92,31,288.06,93,100.0,1980,34076,NGO Coalition
DIS0498,Cyclone,South Africa,Africa,2020-04-28,2020,Q2,April,4,2.8,4212,138.22,53,76.48,58,100.0,1328,52253,UNICEF
DIS0410,Landslide,Yemen,Middle East,2020-05-02,2020,Q2,May,5,4.1,498,136.11,123,130.54,72,93.6,304,5210,UNICEF
DIS0421,Cyclone,Nepal,Asia-Pacific,2020-05-09,2020,Q2,May,5,4.3,6169,356.5,70,266.45,82,85.6,936,72708,NGO Coalition
DIS0274,Drought,Iraq,Middle East,2020-05-10,2020,Q2,May,5,7.7,5536,158.52,167,253.41,122,73.9,2522,48667,UN OCHA
DIS0304,Earthquake,Italy,Europe,2020-05-13,2020,Q2,May,5,6.5,3660,660.38,68,325.87,101,86.6,3128,37135,WHO
DIS0482,Cyclone,Poland,Europe,2020-05-19,2020,Q2,May,5,3.8,6921,551.1,48,344.81,51,100.0,1347,126727,Red Cross
DIS0030,Landslide,Madagascar,Africa,2020-05-25,2020,Q2,May,5,5.0,1607,161.03,74,159.04,109,93.9,2091,26141,National Disaster Agency
DIS0016,Landslide,Madagascar,Africa,2020-05-25,2020,Q2,May,5,6.5,2296,141.12,101,124.48,157,88.3,1562,44450,NGO Coalition
DIS0231,Cyclone,Indonesia,Asia-Pacific,2020-05-27,2020,Q2,May,5,4.6,5663,323.67,106,252.71,126,95.8,1642,68587,WHO
DIS0293,Flood,South Africa,Africa,2020-05-28,2020,Q2,May,5,5.5,6043,335.79,15,176.73,126,94.4,500,43388,Local Emergency Services
DIS0079,Industrial Accident,Philippines,Asia-Pacific,2020-05-30,2020,Q2,May,5,4.2,1269,141.47,118,121.58,112,81.0,800,11196,WHO
DIS0267,Drought,Turkey,Europe,2020-06-13,2020,Q2,June,6,8.8,4768,526.52,168,214.47,206,65.0,4021,67731,UNICEF
DIS0153,Earthquake,Indonesia,Asia-Pacific,2020-06-14,2020,Q2,June,6,7.0,8241,751.87,6,271.1,121,94.2,2017,75167,National Disaster Agency
DIS0281,Earthquake,Somalia,Africa,2020-06-15,2020,Q2,June,6,8.0,6648,569.44,12,511.45,136,100.0,1797,124773,Red Cross
